CNY,Chinese Yuan,中国,人民币
USD,United States Dollar,美国,美元
EUR,Euro,欧盟,欧元
GBP,British Pound,英国,英镑
AUD,Australia Dollar,澳大利亚,澳元
CAD,Canadian Dollar,加拿大,加元
JPY,Japanese Yen,日本,日元
HKD,Hong Kong Dollar,香港,港币
INR,Indian Rupee,印度,印度卢比
ZAR,South African Rand,南非,南非兰特
TWD,New Taiwan Dollar,台湾,新台币
MOP,Macau Pataca,澳门,澳门元
KRW,South Korean Won,韩国,韩元
THB,Thai Baht,泰国,泰铢
NZD,New Zealand Dollar,新西兰,新西兰元
SGD,Singapore Dollar,新加坡,新加坡元
AED,United Arab Emirates Dirham,阿联酋,阿联酋迪拉姆
AFN,Afghan Afghani,阿富汗,阿富汗尼
ALL,Albania Lek,阿尔巴尼,阿尔巴尼列克
AMD,Armenia Dram,亚美尼亚,亚美尼亚德拉姆
ANG,Dutch Guilder,荷兰,荷兰盾
AOA,Angola Kwanza,安哥拉,安哥拉宽扎
ARS,Argentina Peso,阿根廷,阿根廷比索
AWG,Aruba Florin,阿鲁巴,阿鲁巴弗罗林
AZN,Azerbaijan Manat,阿塞拜疆,阿塞拜疆马纳特
BAM,Bosnia Convertible Mark,波黑,波黑可兑换马克
BBD,Barbados Dollar,巴巴多斯,巴巴多斯元
BDT,Bangladesh Taka,孟加拉国,孟加拉国塔卡
BGN,Bulgaria Lev,保加利亚,保加利亚列弗
BHD,Bahrain Dinar,巴林,巴林第纳尔
BIF,Burundi Franc,布隆迪,布隆迪法郎
BMD,Bermudian Dollar,百慕大,百慕大元
BND,Brunei Dollar,文莱,文莱元
BOB,Bolivian Boliviano,玻利维亚,玻利维亚诺
BRL,Brazilian Real,巴西,巴西雷亚尔
BSD,Bahamian Dollar,巴哈马元,巴哈马元
BTC,BitCoin,加密货币,比特币
BTN,Bhutanese Ngultrum,不丹,不丹努扎姆
BWP,Botswana Pula,博茨瓦纳,博茨瓦纳普拉
BZD,Belize Dollar,伯利兹,伯利兹元
CDF,Congolese Franc,刚果,刚果法郎
CHF,Swiss Franc,瑞士,瑞士法郎
CLF,Chilean Unidad de Fomento,智利,智利比索(基金)
CLP,Chilean Peso,智利,智利比索
CNH,Chinese Offshore Renminbi,中国,中国离岸人民币
COP,Colombia Peso,哥伦比亚,哥伦比亚比索
CRC,Costa Rica Colon,哥斯达黎加,哥斯达黎加科朗
CUP,Cuban Peso,古巴,古巴比索
CVE,Cape Verde Escudo,佛得角,佛得角埃斯库多
CYP,Cyprus Pound,塞普路斯,塞普路斯镑
CZK,Czech Republic Koruna,捷克,捷克克朗
DEM,Deutsche Mark,德国,德国马克
DJF,Djiboutian Franc,吉布提,吉布提法郎
DKK,Danish Krone,丹麦,丹麦克朗
DOP,Dominican Peso,多米尼加,多米尼加比索
DZD,Algerian Dinar,阿尔及利亚,阿尔及利亚第纳尔
ECS,Ecuadorian Sucre,厄瓜多尔,厄瓜多尔苏克雷
EGP,Egyptian Pound,埃及,埃及镑
ERN,Eritrean Nakfa,厄立特里亚,厄立特里亚纳克法
ETB,Ethiopian Birr,埃塞俄比亚,埃塞俄比亚比尔
